16,32,8,0,2.226552,"(32, 8)"
16,32,8,1,1.440273,"(32, 8)"
256,32,8,0,1.934420,"(32, 8)"
256,32,8,1,2.056367,"(32, 8)"
2048,32,8,0,2.052863,"(32, 8)"
2048,32,8,1,9.900277,"(32, 8)"
16,16,1,0,1.200579,"(16, 1)"
16,16,1,1,1.043119,"(16, 1)"
256,16,1,0,0.565573,"(16, 1)"
256,16,1,1,1.471797,"(16, 1)"
2048,16,1,0,3.611463,"(16, 1)"
2048,16,1,1,2.156016,"(16, 1)"
16,128,8,0,1.480153,"(128, 8)"
16,128,8,1,6.710699,"(128, 8)"
256,128,8,0,13.873127,"(128, 8)"
256,128,8,1,4.604332,"(128, 8)"
2048,128,8,0,50.696085,"(128, 8)"
2048,128,8,1,27.373869,"(128, 8)"
16,4,1,0,0.076020,"(4, 1)"
16,4,1,1,0.141681,"(4, 1)"
256,4,1,0,0.106500,"(4, 1)"
256,4,1,1,0.370281,"(4, 1)"
2048,4,1,0,0.814363,"(4, 1)"
2048,4,1,1,0.758958,"(4, 1)"
16,32,8,0,0.637285,"(32, 8)"
16,32,8,1,0.475305,"(32, 8)"
256,32,8,0,1.465699,"(32, 8)"
256,32,8,1,0.711098,"(32, 8)"
2048,32,8,0,4.939246,"(32, 8)"
2048,32,8,1,2.993811,"(32, 8)"
16,16,1,0,0.130736,"(16, 1)"
16,16,1,1,0.158926,"(16, 1)"
256,16,1,0,0.706703,"(16, 1)"
256,16,1,1,0.778430,"(16, 1)"
2048,16,1,0,2.047326,"(16, 1)"
2048,16,1,1,1.368695,"(16, 1)"
16,128,8,0,1.242749,"(128, 8)"
16,128,8,1,2.337180,"(128, 8)"
256,128,8,0,23.570674,"(128, 8)"
256,128,8,1,3.021363,"(128, 8)"
2048,128,8,0,56.978506,"(128, 8)"
2048,128,8,1,10.779023,"(128, 8)"
16,4,1,0,0.059557,"(4, 1)"
16,4,1,1,0.079357,"(4, 1)"
256,4,1,0,0.050045,"(4, 1)"
256,4,1,1,0.248172,"(4, 1)"
2048,4,1,0,0.254120,"(4, 1)"
2048,4,1,1,0.669680,"(4, 1)"
16,32,8,0,3.652639,"(32, 8)"
16,32,8,1,2.264381,"(32, 8)"
256,32,8,0,1.260215,"(32, 8)"
256,32,8,1,2.308772,"(32, 8)"
2048,32,8,0,3.660883,"(32, 8)"
2048,32,8,1,2.069708,"(32, 8)"
16,16,1,0,0.167558,"(16, 1)"
16,16,1,1,0.312383,"(16, 1)"
256,16,1,0,0.521174,"(16, 1)"
256,16,1,1,0.582282,"(16, 1)"
2048,16,1,0,2.902358,"(16, 1)"
2048,16,1,1,1.519194,"(16, 1)"
16,128,8,0,4.643997,"(128, 8)"
16,128,8,1,3.388619,"(128, 8)"
256,128,8,0,13.600793,"(128, 8)"
256,128,8,1,5.823732,"(128, 8)"
2048,128,8,0,46.978506,"(128, 8)"
2048,128,8,1,15.779023,"(128, 8)"
